ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
36003,Autauga County,AL,01001,H1
36006,Autauga County,AL,01001,H1
36067,Autauga County,AL,01001,H1
36066,Autauga County,AL,01001,H1
36703,Autauga County,AL,01001,H1
36701,Autauga County,AL,01001,H1
36091,Autauga County,AL,01001,H1
36051,Autauga County,AL,01001,H1
36068,Autauga County,AL,01001,H1
36008,Autauga County,AL,01001,H1
36022,Autauga County,AL,01001,H1
36749,Autauga County,AL,01001,H1
36758,Autauga County,AL,01001,H1
36550,Baldwin County,AL,01003,H1
36551,Baldwin County,AL,01003,H1
36527,Baldwin County,AL,01003,H1
36577,Baldwin County,AL,01003,H1
36559,Baldwin County,AL,01003,H1
36536,Baldwin County,AL,01003,H1
36576,Baldwin County,AL,01003,H1
36579,Baldwin County,AL,01003,H1
36502,Baldwin County,AL,01003,H1
36578,Baldwin County,AL,01003,H1
36533,Baldwin County,AL,01003,H1
36564,Baldwin County,AL,01003,H1
36561,Baldwin County,AL,01003,H1
36580,Baldwin County,AL,01003,H1
36535,Baldwin County,AL,01003,H1
36547,Baldwin County,AL,01003,H1
36549,Baldwin County,AL,01003,H1
36530,Baldwin County,AL,01003,H1
36562,Baldwin County,AL,01003,H1
36532,Baldwin County,AL,01003,H1
36526,Baldwin County,AL,01003,H1
36555,Baldwin County,AL,01003,H1
36511,Baldwin County,AL,01003,H1
36567,Baldwin County,AL,01003,H1
36574,Baldwin County,AL,01003,H1
36480,Baldwin County,AL,01003,H1
36507,Baldwin County,AL,01003,H1
36542,Baldwin County,AL,01003,H1
36017,Barbour County,AL,01005,H1
36016,Barbour County,AL,01005,H1
36311,Barbour County,AL,01005,H1
36374,Barbour County,AL,01005,H1
36048,Barbour County,AL,01005,H1
36053,Barbour County,AL,01005,H1
36317,Barbour County,AL,01005,H1
36027,Barbour County,AL,01005,H1
36072,Barbour County,AL,01005,H1
